,continent,location,date,value,country_num,region,subregion,country_name,policy,name
0,Europe,Sweden,2022-02-09,0.0,1,Eldoril,North,Eldoril North,A,Eldoril North
1,Europe,Sweden,2022-02-16,0.0,1,Eldoril,North,Eldoril North,A,Eldoril North
2,Europe,Sweden,2022-02-23,0.0,1,Eldoril,North,Eldoril North,A,Eldoril North
3,Europe,Sweden,2022-03-01,0.0,1,Eldoril,North,Eldoril North,A,Eldoril North
4,Europe,Sweden,2022-03-08,0.0,1,Eldoril,North,Eldoril North,A,Eldoril North
5,Europe,Sweden,2022-03-15,0.041,1,Eldoril,North,Eldoril North,A,Eldoril North
6,Europe,Sweden,2022-03-22,0.515,1,Eldoril,North,Eldoril North,A,Eldoril North
7,Europe,Sweden,2022-03-29,2.722,1,Eldoril,North,Eldoril North,A,Eldoril North
8,Europe,Sweden,2022-04-05,8.193,1,Eldoril,North,Eldoril North,A,Eldoril North
9,Europe,Sweden,2022-04-12,17.022,1,Eldoril,North,Eldoril North,A,Eldoril North
10,Europe,Sweden,2022-04-19,26.054,1,Eldoril,North,Eldoril North,A,Eldoril North
11,Europe,Sweden,2022-04-26,33.624,1,Eldoril,North,Eldoril North,A,Eldoril North
12,Europe,Sweden,2022-05-03,40.923,1,Eldoril,North,Eldoril North,A,Eldoril North
13,Europe,Sweden,2022-05-10,47.369,1,Eldoril,North,Eldoril North,A,Eldoril North
14,Europe,Sweden,2022-05-17,50.592,1,Eldoril,North,Eldoril North,A,Eldoril North
15,Europe,Sweden,2022-05-24,50.105,1,Eldoril,North,Eldoril North,A,Eldoril North
16,Europe,Sweden,2022-05-31,44.932,1,Eldoril,North,Eldoril North,A,Eldoril North
17,Europe,Sweden,2022-06-07,39.407,1,Eldoril,North,Eldoril North,A,Eldoril North
18,Europe,Sweden,2022-06-14,35.087,1,Eldoril,North,Eldoril North,A,Eldoril North
19,Europe,Sweden,2022-06-21,30.523,1,Eldoril,North,Eldoril North,A,Eldoril North
20,Europe,Sweden,2022-06-28,25.459,1,Eldoril,North,Eldoril North,A,Eldoril North
21,Europe,Sweden,2022-07-05,21.545,1,Eldoril,North,Eldoril North,A,Eldoril North
22,Europe,Sweden,2022-07-12,17.713,1,Eldoril,North,Eldoril North,A,Eldoril North
23,Europe,Sweden,2022-07-19,14.842,1,Eldoril,North,Eldoril North,A,Eldoril North
24,Europe,Sweden,2022-07-26,11.808,1,Eldoril,North,Eldoril North,A,Eldoril North
25,Europe,Sweden,2022-08-02,8.789,1,Eldoril,North,Eldoril North,A,Eldoril North
26,Europe,Sweden,2022-08-09,6.243,1,Eldoril,North,Eldoril North,A,Eldoril North
27,Europe,Sweden,2022-08-16,4.658,1,Eldoril,North,Eldoril North,A,Eldoril North
28,Europe,Sweden,2022-08-23,3.358,1,Eldoril,North,Eldoril North,A,Eldoril North
29,Europe,Sweden,2022-08-30,2.343,1,Eldoril,North,Eldoril North,A,Eldoril North
30,Europe,Sweden,2022-09-06,1.72,1,Eldoril,North,Eldoril North,A,Eldoril North
31,Europe,Sweden,2022-09-13,1.435,1,Eldoril,North,Eldoril North,A,Eldoril North
32,Europe,Sweden,2022-09-20,1.341,1,Eldoril,North,Eldoril North,A,Eldoril North
33,Europe,Sweden,2022-09-27,1.3,1,Eldoril,North,Eldoril North,A,Eldoril North
34,Europe,Sweden,2022-10-04,1.232,1,Eldoril,North,Eldoril North,A,Eldoril North
35,Europe,Sweden,2022-10-11,1.327,1,Eldoril,North,Eldoril North,A,Eldoril North
36,Europe,Sweden,2022-10-18,1.422,1,Eldoril,North,Eldoril North,A,Eldoril North
37,Europe,Sweden,2022-10-25,1.747,1,Eldoril,North,Eldoril North,A,Eldoril North
38,Europe,Sweden,2022-11-01,2.478,1,Eldoril,North,Eldoril North,A,Eldoril North
39,Europe,Sweden,2022-11-08,4.469,1,Eldoril,North,Eldoril North,A,Eldoril North
40,Europe,Sweden,2022-11-15,7.231,1,Eldoril,North,Eldoril North,A,Eldoril North
41,Europe,Sweden,2022-11-22,11.253,1,Eldoril,North,Eldoril North,A,Eldoril North
42,Europe,Sweden,2022-11-29,16.711,1,Eldoril,North,Eldoril North,A,Eldoril North
43,Europe,Sweden,2022-12-06,22.506,1,Eldoril,North,Eldoril North,A,Eldoril North
44,Europe,Sweden,2022-12-13,28.925,1,Eldoril,North,Eldoril North,A,Eldoril North
45,Europe,Sweden,2022-12-20,36.427,1,Eldoril,North,Eldoril North,A,Eldoril North
46,Europe,Sweden,2022-12-27,42.941,1,Eldoril,North,Eldoril North,A,Eldoril North
47,Europe,Sweden,2023-01-03,49.184,1,Eldoril,North,Eldoril North,A,Eldoril North
48,Europe,Sweden,2023-01-10,53.558,1,Eldoril,North,Eldoril North,A,Eldoril North
49,Europe,Sweden,2023-01-17,56.307,1,Eldoril,North,Eldoril North,A,Eldoril North
50,Europe,Sweden,2023-01-24,57.363,1,Eldoril,North,Eldoril North,A,Eldoril North
51,Europe,Sweden,2023-01-31,55.887,1,Eldoril,North,Eldoril North,A,Eldoril North
52,Europe,Sweden,2023-02-07,51.242,1,Eldoril,North,Eldoril North,A,Eldoril North
53,Europe,Sweden,2023-02-14,45.392,1,Eldoril,North,Eldoril North,A,Eldoril North
54,Europe,Sweden,2023-02-21,38.621,1,Eldoril,North,Eldoril North,A,Eldoril North
55,Europe,Sweden,2023-02-28,31.945,1,Eldoril,North,Eldoril North,A,Eldoril North
56,Europe,Sweden,2023-03-07,25.283,1,Eldoril,North,Eldoril North,A,Eldoril North
57,Europe,Sweden,2023-03-14,20.042,1,Eldoril,North,Eldoril North,A,Eldoril North
58,Europe,Sweden,2023-03-21,16.386,1,Eldoril,North,Eldoril North,A,Eldoril North
59,Europe,Sweden,2023-03-28,14.327,1,Eldoril,North,Eldoril North,A,Eldoril North
60,Europe,Sweden,2023-04-04,13.501,1,Eldoril,North,Eldoril North,A,Eldoril North
61,Europe,Sweden,2023-04-11,12.838,1,Eldoril,North,Eldoril North,A,Eldoril North
62,Europe,Sweden,2023-04-18,12.838,1,Eldoril,North,Eldoril North,A,Eldoril North
63,Europe,Sweden,2023-04-25,12.702,1,Eldoril,North,Eldoril North,A,Eldoril North
64,Europe,Sweden,2023-05-02,12.526,1,Eldoril,North,Eldoril North,A,Eldoril North
65,Europe,Sweden,2023-05-09,12.147,1,Eldoril,North,Eldoril North,A,Eldoril North
66,Europe,Sweden,2023-05-16,11.971,1,Eldoril,North,Eldoril North,A,Eldoril North
67,Europe,Sweden,2023-05-23,10.982,1,Eldoril,North,Eldoril North,A,Eldoril North
68,Europe,Sweden,2023-05-30,9.899,1,Eldoril,North,Eldoril North,A,Eldoril North
69,Europe,Sweden,2023-06-06,8.572,1,Eldoril,North,Eldoril North,A,Eldoril North
70,Europe,Sweden,2023-06-13,7.191,1,Eldoril,North,Eldoril North,A,Eldoril North
71,Europe,Sweden,2023-06-20,5.715,1,Eldoril,North,Eldoril North,A,Eldoril North
72,Europe,Sweden,2023-06-27,4.482,1,Eldoril,North,Eldoril North,A,Eldoril North
73,Europe,Sweden,2023-07-04,3.047,1,Eldoril,North,Eldoril North,A,Eldoril North
74,Europe,Sweden,2023-07-11,2.099,1,Eldoril,North,Eldoril North,A,Eldoril North
75,Europe,Sweden,2023-07-18,1.463,1,Eldoril,North,Eldoril North,A,Eldoril North
76,Europe,Sweden,2023-07-25,0.907,1,Eldoril,North,Eldoril North,A,Eldoril North
77,Europe,Sweden,2023-08-01,0.623,1,Eldoril,North,Eldoril North,A,Eldoril North
78,Europe,Sweden,2023-08-08,0.501,1,Eldoril,North,Eldoril North,A,Eldoril North
79,Europe,Sweden,2023-08-15,0.447,1,Eldoril,North,Eldoril North,A,Eldoril North
80,Europe,Sweden,2023-08-22,0.474,1,Eldoril,North,Eldoril North,A,Eldoril North
81,Europe,Sweden,2023-08-29,0.677,1,Eldoril,North,Eldoril North,A,Eldoril North
82,Europe,Sweden,2023-09-05,0.961,1,Eldoril,North,Eldoril North,A,Eldoril North
83,Europe,Sweden,2023-09-12,1.557,1,Eldoril,North,Eldoril North,A,Eldoril North
84,Europe,Sweden,2023-09-19,2.234,1,Eldoril,North,Eldoril North,A,Eldoril North
85,Europe,Sweden,2023-09-26,2.763,1,Eldoril,North,Eldoril North,A,Eldoril North
86,Europe,Sweden,2023-10-03,3.142,1,Eldoril,North,Eldoril North,A,Eldoril North
87,Europe,Sweden,2023-10-10,3.724,1,Eldoril,North,Eldoril North,A,Eldoril North
88,Europe,Sweden,2023-10-17,3.927,1,Eldoril,North,Eldoril North,A,Eldoril North
89,Europe,Sweden,2023-10-24,3.968,1,Eldoril,North,Eldoril North,A,Eldoril North
90,Europe,Sweden,2023-10-31,3.697,1,Eldoril,North,Eldoril North,A,Eldoril North
91,Europe,Sweden,2023-11-07,3.426,1,Eldoril,North,Eldoril North,A,Eldoril North
92,Europe,Sweden,2023-11-14,3.25,1,Eldoril,North,Eldoril North,A,Eldoril North
93,Europe,Sweden,2023-11-21,3.169,1,Eldoril,North,Eldoril North,A,Eldoril North
94,Europe,Sweden,2023-11-28,2.668,1,Eldoril,North,Eldoril North,A,Eldoril North
95,Europe,Sweden,2023-12-05,2.573,1,Eldoril,North,Eldoril North,A,Eldoril North
96,Europe,Sweden,2023-12-12,2.763,1,Eldoril,North,Eldoril North,A,Eldoril North
97,Europe,Sweden,2023-12-19,3.02,1,Eldoril,North,Eldoril North,A,Eldoril North
98,Europe,Sweden,2023-12-26,3.196,1,Eldoril,North,Eldoril North,A,Eldoril North
99,Europe,Sweden,2024-01-02,3.629,1,Eldoril,North,Eldoril North,A,Eldoril North
100,Europe,Sweden,2024-01-09,4.929,1,Eldoril,North,Eldoril North,A,Eldoril North
101,Europe,Sweden,2024-01-16,6.784,1,Eldoril,North,Eldoril North,A,Eldoril North
102,Europe,Sweden,2024-01-23,9.791,1,Eldoril,North,Eldoril North,A,Eldoril North
103,Europe,Sweden,2024-01-30,13.244,1,Eldoril,North,Eldoril North,A,Eldoril North
104,Europe,Sweden,2024-02-06,17.374,1,Eldoril,North,Eldoril North,A,Eldoril North
105,Europe,Sweden,2024-02-13,21.22,1,Eldoril,North,Eldoril North,A,Eldoril North
106,Europe,Sweden,2024-02-20,25.418,1,Eldoril,North,Eldoril North,A,Eldoril North
107,Europe,Sweden,2024-02-27,28.072,1,Eldoril,North,Eldoril North,A,Eldoril North
108,Europe,Sweden,2024-03-06,29.67,1,Eldoril,North,Eldoril North,A,Eldoril North
109,Europe,Sweden,2024-03-13,29.128,1,Eldoril,North,Eldoril North,A,Eldoril North
110,Europe,Sweden,2024-03-20,27.937,1,Eldoril,North,Eldoril North,A,Eldoril North
111,Europe,Sweden,2024-03-27,25.404,1,Eldoril,North,Eldoril North,A,Eldoril North
112,Europe,Sweden,2024-04-03,22.52,1,Eldoril,North,Eldoril North,A,Eldoril North
113,Europe,Sweden,2024-04-10,19.107,1,Eldoril,North,Eldoril North,A,Eldoril North
114,Europe,Sweden,2024-04-17,15.79,1,Eldoril,North,Eldoril North,A,Eldoril North
115,Europe,Sweden,2024-04-24,13.136,1,Eldoril,North,Eldoril North,A,Eldoril North
116,Europe,Sweden,2024-05-01,11.023,1,Eldoril,North,Eldoril North,A,Eldoril North
117,Europe,Sweden,2024-05-08,8.883,1,Eldoril,North,Eldoril North,A,Eldoril North
118,Europe,Sweden,2024-05-15,7.231,1,Eldoril,North,Eldoril North,A,Eldoril North
119,Europe,Sweden,2024-05-22,6.256,1,Eldoril,North,Eldoril North,A,Eldoril North
120,Europe,Sweden,2024-05-29,4.983,1,Eldoril,North,Eldoril North,A,Eldoril North
121,Europe,Sweden,2024-06-05,4.293,1,Eldoril,North,Eldoril North,A,Eldoril North
122,Europe,Sweden,2024-06-12,3.561,1,Eldoril,North,Eldoril North,A,Eldoril North
123,Europe,Sweden,2024-06-19,3.264,1,Eldoril,North,Eldoril North,A,Eldoril North
124,Europe,Sweden,2024-06-26,3.02,1,Eldoril,North,Eldoril North,A,Eldoril North
125,Europe,Sweden,2024-07-03,2.966,1,Eldoril,North,Eldoril North,A,Eldoril North
126,Europe,Sweden,2024-07-10,3.169,1,Eldoril,North,Eldoril North,A,Eldoril North
127,Europe,Sweden,2024-07-17,3.602,1,Eldoril,North,Eldoril North,A,Eldoril North
128,Europe,Sweden,2024-07-24,4.74,1,Eldoril,North,Eldoril North,A,Eldoril North
129,Europe,Sweden,2024-07-31,5.755,1,Eldoril,North,Eldoril North,A,Eldoril North
130,Europe,Sweden,2024-08-07,6.893,1,Eldoril,North,Eldoril North,A,Eldoril North
131,Europe,Sweden,2024-08-14,8.017,1,Eldoril,North,Eldoril North,A,Eldoril North
132,Europe,Sweden,2024-08-21,9.33,1,Eldoril,North,Eldoril North,A,Eldoril North
133,Europe,Sweden,2024-08-28,9.764,1,Eldoril,North,Eldoril North,A,Eldoril North
134,Europe,Sweden,2024-09-04,10.292,1,Eldoril,North,Eldoril North,A,Eldoril North
